@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,9,10,12,13,14,16,17,18,22,23,24,26,33,36,37,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
187,78,78,109,63,109,93,172,94,828,109,110,250,78,156,63,78,47,266,109,78,125,2
93,32,63,0,32,78,63,31,78,562,78,16,94,78,94,78,63,15,88,78,16,93,2
125,32,94,16,16,78,47,117,20,94,15,47,47,63,94,31,109,172,32,421,46,125,2
78,78,78,16,32,63,63,15,78,719,47,16,94,78,94,78,63,15,15,125,16,93,2
62,141,63,94,219,47,63,109,47,78,94,547,63,1015,79,125,63,203,188,46,47,78,2
62,78,47,125,63,78,79,125,62,125,78,31,828,62,93,110,188,62,172,63,62,63,2
31,109,47,125,219,109,94,219,47,79,79,547,63,1015,79,125,63,203,125,78,47,78,2
109,125,78,109,63,125,94,0,94,109,125,63,78,109,78,93,94,47,78,63,31,78,2
94,16,78,63,31,187,16,62,47,63,125,78,78,78,109,110,94,94,78,94,31,94,2
125,0,94,15,63,110,94,31,78,843,16,63,78,109,78,93,94,47,31,141,31,78,2
93,47,110,93,31,140,78,16,46,172,94,31,62,79,125,62,110,15,78,16,16,78,2
94,16,62,47,32,124,62,94,31,62,78,63,78,93,79,93,78,78,32,93,32,62,2
79,31,46,110,31,125,78,16,94,609,62,31,62,79,125,62,110,15,32,78,16,78,2
94,31,79,46,15,90,109,0,62,94,140,47,63,78,94,94,78,0,78,0,16,78,2
94,0,62,579,32,93,31,140,16,31,0,63,78,78,78,94,94,78,15,79,16,94,2
62,16,62,32,15,125,62,31,78,781,31,47,63,78,94,94,78,0,15,110,16,78,2
63,343,46,188,62,79,62,16,62,62,78,94,62,156,63,109,110,234,78,110,31,47,2
63,0,47,94,47,141,110,62,47,156,125,32,125,47,62,125,140,63,78,47,47,62,2
203,47,62,94,62,110,62,16,62,922,110,94,62,156,63,109,110,234,47,63,31,47,2
140,31,109,47,62,100,94,46,63,94,93,78,47,62,141,62,110,109,93,32,47,62,2
125,32,94,31,32,110,16,141,16,78,94,47,94,46,109,31,110,78,78,47,62,79,2
31,109,63,78,62,125,79,15,94,828,16,78,47,62,141,62,110,109,46,94,47,62,2
63,78,62,63,63,79,63,78,62,62,124,109,62,94,78,93,63,78,31,78,47,62,2
78,62,62,63,78,62,78,125,47,94,62,62,78,63,78,94,79,93,47,62,62,63,2
94,78,62,47,63,63,62,78,63,62,78,109,62,94,78,93,63,78,31,125,47,62,2
109,47,31,16,47,47,93,16,78,594,94,15,78,78,47,63,16,110,47,94,0,31,2
47,16,78,16,93,47,609,47,16,110,93,31,63,78,31,62,78,109,94,16,94,16,2
