@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,8,12,14,16,21,22,23,24,26,27,30,33,34,36,40,42'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
78,47,93,63,125,63,0,141,47,203,94,109,62,78,78,109,16,63,78,265,110,16,3845,2
78,16,78,62,109,79,0,94,251,62,125,109,813,141,62,140,16,203,78,219,78,16,4874,2
375,16,62,94,94,156,250,141,125,94,109,62,93,156,63,94,62,47,156,63,109,47,4562,2
94,31,63,47,47,47,0,141,94,16,47,125,172,63,62,79,78,62,16,78,31,31,3488,2
171,63,94,125,94,156,62,94,46,172,63,15,953,156,63,94,62,47,78,110,172,47,5671,2
109,47,78,94,94,141,250,47,15,63,62,47,0,63,62,32,141,78,16,78,47,31,3049,2
63,15,94,94,78,172,0,47,172,47,47,125,141,15,63,31,94,63,16,78,16,31,3707,2
32,93,62,78,94,141,906,47,31,141,94,203,735,63,62,32,141,78,110,15,93,31,8140,2
62,16,62,78,78,31,109,63,140,47,62,32,0,16,188,218,47,47,16,78,16,46,3000,2
47,359,63,32,62,16,0,94,78,47,31,47,79,62,63,94,15,156,16,78,15,47,2969,2
63,78,78,79,78,31,0,94,32,79,125,78,703,16,188,218,47,47,47,15,94,46,4467,2
172,437,78,94,94,31,140,62,141,219,93,16,94,125,63,62,94,94,125,78,94,78,4296,2
219,15,94,94,94,62,0,62,62,110,31,109,94,78,78,94,109,78,16,78,46,63,3310,2
140,110,94,78,94,31,109,78,78,94,109,16,937,125,63,62,94,94,78,94,78,78,4249,2
57,4369,69,90,90,63,80,110,101,192,89,36,78,47,78,69,111,78,81,37,78,69,8445,2
192,4,98,65,78,31,70,65,94,187,89,24,172,58,68,78,94,62,79,13,85,63,4213,2
74,6,79,104,90,63,73,103,31,172,11,73,74,47,78,69,111,78,78,15,94,69,3365,2
110,156,94,109,109,63,172,109,78,94,79,78,78,110,250,156,63,47,15,63,78,78,4252,2
94,15,78,63,156,16,0,109,94,62,109,94,141,78,78,110,47,94,410,94,62,172,3846,2
187,78,78,78,109,63,0,109,93,141,93,172,828,110,250,156,63,47,125,266,109,78,5502,2
93,32,63,93,93,32,187,78,47,125,63,31,562,16,94,94,78,15,20,88,78,16,3638,2
125,32,94,93,62,16,110,78,78,78,47,117,94,47,47,94,31,172,32,32,421,46,3279,2
78,78,78,93,93,32,109,63,94,94,63,15,719,16,94,94,78,15,125,15,125,16,3657,2
62,141,63,78,78,219,62,47,157,62,63,109,78,547,63,79,125,203,62,188,46,47,4983,2
62,78,47,46,62,63,63,78,78,125,79,125,125,31,828,93,110,62,47,172,63,62,5531,2
31,109,47,62,78,219,47,109,62,125,94,219,79,547,63,79,125,203,63,125,78,47,5221,2
109,125,78,125,125,63,109,125,109,94,94,0,109,63,78,78,93,47,47,78,63,31,3750,2
94,16,78,78,94,31,78,187,79,46,16,62,63,78,78,109,110,94,78,78,94,31,3373,2
125,0,94,94,125,63,93,110,78,63,94,31,843,63,78,78,93,47,94,31,141,31,5093,2
93,47,110,94,94,31,79,140,109,94,78,16,172,31,62,125,62,15,31,78,16,16,3298,2
94,16,62,47,78,32,98,124,62,125,62,94,62,63,78,79,93,78,62,32,93,32,3122,2
79,31,46,62,94,31,94,125,16,62,78,16,609,31,62,125,62,15,62,32,78,16,3749,2
94,31,79,79,79,15,140,90,62,94,109,0,94,47,63,94,94,0,16,78,0,16,2996,2
94,0,62,78,78,32,0,93,172,31,31,140,31,63,78,78,94,78,78,15,79,16,3220,2
62,16,62,78,79,15,0,125,63,31,62,31,781,47,63,94,94,0,94,15,110,16,3423,2
63,343,46,47,47,62,78,79,156,63,62,16,62,94,62,63,109,234,47,78,110,31,3952,2
63,0,47,47,93,47,125,141,47,141,110,62,156,32,125,62,125,63,16,78,47,47,3300,2
203,47,62,47,47,62,79,110,47,156,62,16,922,94,62,63,109,234,62,47,63,31,4171,2
140,31,109,94,94,62,172,100,62,125,94,46,94,78,47,141,62,109,16,93,32,47,3582,2
125,32,94,78,93,32,94,110,141,62,16,141,78,47,94,109,31,78,16,78,47,62,3159,2
31,109,63,94,94,62,78,125,0,78,79,15,828,78,47,141,62,109,79,46,94,47,5580,2
63,78,62,62,62,63,78,79,94,78,63,78,62,109,62,78,93,78,47,31,78,47,3012,2
78,62,62,62,63,78,63,62,188,15,78,125,94,62,78,78,94,93,78,47,62,62,3267,2
94,78,62,78,62,63,47,63,93,94,62,78,62,109,62,78,93,78,63,31,125,47,3780,2
109,47,31,78,78,47,125,47,62,47,93,16,594,15,78,47,63,110,16,47,94,0,3142,2
47,16,78,110,16,93,484,47,94,0,609,47,110,31,63,31,62,109,0,94,16,94,3721,2
94,156,78,110,78,47,0,62,31,110,31,78,0,15,78,47,63,110,16,93,78,0,3562,2
94,32,78,62,62,157,78,62,93,94,79,78,125,141,62,79,78,63,94,15,94,31,4392,2
94,16,78,63,93,0,109,78,78,93,125,141,15,94,78,78,110,78,78,47,78,94,3658,2
110,78,93,78,62,157,47,94,172,15,140,63,0,141,62,79,78,63,94,156,94,31,3643,2
94,109,63,63,63,94,78,63,140,94,63,62,93,156,63,78,94,188,78,78,78,78,3596,2
94,47,78,63,62,63,63,78,63,172,62,94,110,63,78,63,109,62,63,78,62,62,3406,2
63,62,47,63,63,94,63,47,62,110,63,47,110,156,63,78,94,188,47,47,94,78,3410,2
78,47,125,156,156,0,78,180,109,94,63,16,0,78,94,31,109,93,31,94,47,31,3397,2
94,15,125,78,15,78,141,187,94,219,62,47,110,94,62,15,125,63,16,94,94,0,4740,2
47,47,78,94,156,0,0,172,15,110,125,94,984,78,94,31,109,93,63,31,156,31,7215,2
62,79,94,78,78,62,109,125,125,78,94,141,94,63,78,141,0,93,31,78,63,32,3421,2
78,125,94,63,47,78,110,125,78,109,78,78,120,94,94,63,172,125,78,78,94,93,3729,2
78,31,31,156,78,62,0,94,187,120,78,47,735,63,78,141,0,93,78,94,78,32,3667,2
