@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,9,12,14,16,23,25,26,27,31,32,33,34,35,41,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,31,78,31,110,63,62,47,47,0,141,94,16,47,125,156,78,110,63,62,63,266,16,78,31,110,78,2
171,63,16,63,31,94,47,94,156,62,94,46,172,63,15,62,109,94,156,63,62,78,78,110,172,93,110,2
109,47,172,31,78,78,16,94,141,250,47,15,63,62,47,62,47,47,63,62,78,16,16,78,47,63,78,2
63,15,109,62,109,94,31,78,172,0,47,172,47,47,125,16,94,49,15,63,78,125,16,78,16,63,110,2
32,93,16,188,62,62,16,94,141,906,47,31,141,94,203,78,91,968,63,62,78,16,110,15,93,63,78,2
62,16,109,16,62,62,32,78,31,109,63,140,47,62,32,78,62,94,16,188,359,62,16,78,16,47,63,2
47,359,94,15,47,63,15,62,16,0,94,78,47,31,47,16,62,78,62,63,94,16,16,78,15,63,47,2
63,78,16,203,16,78,15,78,31,0,94,32,79,125,78,78,62,94,16,188,359,62,47,15,94,47,63,2
172,437,94,94,78,78,94,94,31,140,62,141,219,93,16,94,94,78,125,63,109,109,125,78,94,78,62,2
219,15,94,16,78,94,62,94,62,0,62,62,110,31,109,125,94,78,78,78,63,78,16,78,46,78,78,2
140,110,16,31,63,94,47,94,31,109,78,78,94,109,16,78,62,109,125,63,109,109,78,94,78,78,62,2
57,4369,113,168,69,69,166,90,63,80,110,101,192,89,36,79,79,80,47,78,78,109,81,37,78,33,61,2
192,4,79,80,72,98,49,78,31,70,65,94,187,89,24,81,94,78,58,68,150,141,79,13,85,78,78,2
74,6,79,136,79,79,21,90,63,73,103,31,172,11,73,31,47,141,47,78,78,109,78,15,94,33,61,2
110,156,125,31,94,94,172,109,63,172,109,78,94,79,78,78,109,94,110,250,78,125,15,63,78,78,125,2
94,15,94,125,78,78,62,156,16,0,109,94,62,109,94,15,110,94,78,78,63,62,410,94,62,109,125,2
187,78,410,15,94,78,109,109,63,0,109,93,141,93,172,94,141,109,110,250,78,125,125,266,109,78,125,2
