@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,6,7,9,10,11,12,14,16,21,24,25,26,27,28,34,37,39'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute ft2 numeric
@attribute ft3 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
57,4369,113,168,166,80,110,101,192,89,36,79,96,78,78,69,111,41,78,109,37,33,69,61,8445,2
192,4,79,80,49,70,65,94,187,89,24,94,94,68,150,78,94,94,62,141,13,78,63,78,4213,2
74,6,79,136,21,73,103,31,172,11,73,47,94,78,78,69,111,41,78,109,15,33,69,61,3365,2
110,156,125,31,172,172,109,78,94,79,78,109,156,250,78,156,63,141,47,125,63,78,78,125,4252,2
94,15,94,125,62,0,109,94,62,109,94,110,109,78,63,110,47,62,94,62,94,109,172,125,3846,2
187,78,410,15,109,0,109,93,141,93,172,141,125,250,78,156,63,141,47,125,266,78,78,125,5502,2
93,32,125,47,0,187,78,47,125,63,31,78,94,94,78,94,78,47,15,78,88,109,16,93,3638,2
125,32,94,125,16,110,78,78,78,47,117,94,47,47,63,94,31,63,172,15,32,63,46,125,3279,2
78,78,32,32,16,109,63,94,94,63,15,94,47,94,78,94,78,47,15,78,15,109,16,93,3657,2
62,141,78,109,94,62,47,157,62,63,109,94,109,63,1015,79,125,62,203,62,188,47,47,78,4983,2
62,78,63,125,125,63,78,78,125,79,125,63,109,828,62,93,110,93,62,485,172,63,62,63,5531,2
31,109,47,125,125,47,109,62,125,94,219,63,94,63,1015,79,125,62,203,62,125,47,47,78,5221,2
109,125,109,79,109,109,125,109,94,94,0,94,78,78,109,78,93,203,47,78,78,79,31,78,3750,2
94,16,78,15,63,78,187,79,46,16,62,109,78,78,78,109,110,62,94,62,78,78,31,94,3373,2
125,0,78,78,15,93,110,78,63,94,31,94,93,78,109,78,93,203,47,78,31,79,31,78,5093,2
93,47,125,47,93,79,140,109,94,78,16,110,78,62,79,125,62,109,15,94,78,94,16,78,3298,2
94,16,62,62,47,98,124,62,125,62,94,94,62,78,93,79,93,140,78,0,32,93,32,62,3122,2
79,31,62,156,110,94,125,16,62,78,16,78,78,62,79,125,62,109,15,94,32,94,16,78,3749,2
94,31,78,125,46,140,90,62,94,109,0,110,93,63,78,94,94,47,0,78,78,94,16,78,2996,2
94,0,63,62,579,0,93,172,31,31,140,78,63,78,78,78,94,78,78,31,15,62,16,94,3220,2
62,16,78,94,32,0,125,63,31,62,31,109,78,63,78,94,94,47,0,78,15,94,16,78,3423,2
63,343,63,219,188,78,79,156,63,62,16,156,156,62,156,63,109,62,234,31,78,62,31,47,3952,2
63,0,78,47,94,125,141,47,141,110,62,78,125,125,47,62,125,63,63,94,78,47,47,62,3300,2
203,47,16,203,94,79,110,47,156,62,16,47,63,62,156,63,109,62,234,31,47,62,31,47,4171,2
140,31,141,31,47,172,100,62,125,94,46,94,109,47,62,141,62,125,109,94,93,94,47,62,3582,2
125,32,110,16,31,94,110,141,62,16,141,94,109,94,46,109,31,110,78,47,78,78,62,79,3159,2
31,109,16,31,78,78,125,0,78,79,15,516,94,47,62,141,62,125,109,94,46,94,47,62,5580,2
63,78,78,94,63,78,79,94,78,63,78,78,94,62,94,78,93,63,78,62,31,63,47,62,3012,2
78,62,79,109,63,63,62,188,15,78,125,63,125,78,63,78,94,63,93,78,47,78,62,63,3267,2
94,78,78,109,47,47,63,93,94,62,78,78,843,62,94,78,93,63,78,62,31,63,47,62,3780,2
109,47,63,47,16,125,47,62,47,93,16,78,16,78,78,47,63,109,110,62,47,78,0,31,3142,2
