@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,12,13,14,16,17,18,20,21,22,23,24,27,28,30,33,34,35,37,39,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
140,31,141,109,94,94,62,100,94,94,16,47,141,62,94,93,47,62,2
125,32,172,94,78,93,32,110,16,78,62,94,109,31,47,78,62,79,2
31,109,250,63,94,94,62,125,79,828,968,47,141,62,94,46,47,62,2
63,78,78,62,62,62,63,79,63,62,63,62,78,93,62,31,47,62,2
78,62,47,62,62,63,78,62,78,94,157,78,78,94,78,47,62,63,2
94,78,47,62,78,62,63,63,62,62,63,62,78,93,62,31,47,62,2
109,47,63,31,78,78,47,47,93,594,78,78,47,63,62,47,0,31,2
47,16,31,78,110,16,93,47,609,110,31,63,31,62,62,94,94,16,2
94,156,32,78,110,78,47,62,31,0,547,78,47,63,62,93,0,31,2
94,32,109,78,62,62,157,62,79,125,141,62,79,78,93,15,31,79,2
94,16,78,78,63,93,0,78,125,15,125,78,78,110,94,47,94,94,2
110,78,93,93,78,62,157,94,140,0,32,62,79,78,93,156,31,79,2
94,109,62,63,63,63,94,63,63,93,47,63,78,94,78,78,78,63,2
94,47,78,78,63,62,63,78,62,110,78,78,63,109,125,78,62,47,2
63,62,78,47,63,63,94,47,63,110,94,63,78,94,78,47,78,63,2
78,47,157,125,156,156,0,180,63,0,16,94,31,109,0,94,31,63,2
94,15,110,125,78,15,78,187,62,110,20,62,15,125,141,94,0,63,2
47,47,16,78,94,156,0,172,125,984,1094,94,31,109,0,31,31,63,2
62,79,109,94,78,78,62,125,94,94,93,78,141,0,32,78,32,93,2
78,125,0,94,63,47,78,125,78,120,94,94,63,172,500,78,93,78,2
78,31,97,31,156,78,62,94,78,735,78,78,141,0,32,94,32,93,2
