@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,10,14,16,17,18,21,22,23,24,26,27,30,33,34,35,36,37,39,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
94,62,62,63,63,172,78,78,78,78,79,109,40,60,47,125,94,79,1
78,47,47,63,62,62,63,78,47,94,93,115,47,78,78,109,78,141,1
63,62,62,62,94,172,78,62,78,78,140,62,40,60,47,125,141,79,1
78,78,110,109,109,79,109,109,78,47,234,0,141,62,140,16,78,16,2
78,47,94,93,63,63,62,0,141,94,109,62,78,78,109,16,265,16,2
78,16,328,78,62,79,109,0,94,125,109,813,141,62,140,16,219,16,2
375,16,78,62,94,156,250,250,141,109,62,93,156,63,94,62,63,47,2
94,31,219,63,47,47,62,0,141,47,125,172,63,62,79,78,78,31,2
171,63,218,94,125,156,250,62,94,63,15,953,156,63,94,62,110,47,2
109,47,172,78,94,141,250,250,47,62,47,0,63,62,32,141,78,31,2
63,15,110,94,94,172,16,0,47,47,125,141,15,63,31,94,78,31,2
32,93,110,62,78,141,250,906,47,94,203,735,63,62,32,141,15,31,2
62,16,109,62,78,31,109,109,63,62,32,0,16,188,218,47,78,46,2
47,359,63,63,32,16,47,0,94,31,47,79,62,63,94,15,78,47,2
63,78,110,78,79,31,109,0,94,125,78,703,16,188,218,47,15,46,2
172,437,94,78,94,31,140,140,62,93,16,94,125,63,62,94,78,78,2
219,15,125,94,94,62,78,0,62,31,109,94,78,78,94,109,78,63,2
140,110,219,94,78,31,140,109,78,109,16,937,125,63,62,94,94,78,2
57,4369,113,69,90,63,80,80,110,89,36,78,47,78,69,111,37,69,2
192,4,68,98,65,31,78,70,65,89,24,172,58,68,78,94,13,63,2
74,6,39,79,104,63,80,73,103,11,73,74,47,78,69,111,15,69,2
110,156,125,94,109,63,172,172,109,79,78,78,110,250,156,63,63,78,2
94,15,78,78,63,16,78,0,109,109,94,141,78,78,110,47,94,172,2
187,78,110,78,78,63,172,0,109,93,172,828,110,250,156,63,266,78,2
93,32,125,63,93,32,187,187,78,63,31,562,16,94,94,78,88,16,2
125,32,47,94,93,16,62,110,78,47,117,94,47,47,94,31,32,46,2
78,78,125,78,93,32,187,109,63,63,15,719,16,94,94,78,15,16,2
62,141,78,63,78,219,62,62,47,63,109,78,547,63,79,125,188,47,2
62,78,62,47,46,63,78,63,78,79,125,125,31,828,93,110,172,62,2
31,109,47,47,62,219,62,47,109,94,219,79,547,63,79,125,125,47,2
109,125,109,78,125,63,109,109,125,94,0,109,63,78,78,93,78,31,2
94,16,156,78,78,31,110,78,187,16,62,63,78,78,109,110,78,31,2
125,0,94,94,94,63,109,93,110,94,31,843,63,78,78,93,31,31,2
93,47,125,110,94,31,79,79,140,78,16,172,31,62,125,62,78,16,2
94,16,125,62,47,32,78,98,124,62,94,62,63,78,79,93,32,32,2
79,31,31,46,62,31,79,94,125,78,16,609,31,62,125,62,32,16,2
94,31,78,79,79,15,140,140,90,109,0,94,47,63,94,94,78,16,2
94,0,16,62,78,32,94,0,93,31,140,31,63,78,78,94,15,16,2
62,16,78,62,78,15,140,0,125,62,31,781,47,63,94,94,15,16,2
