@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R2,4,5,7,8,9,10,11,15,16,17,18,19,23,24,25,26,27,29,39,43'

@attribute dtfk1 numeric
@attribute dtsk1 numeric
@attribute dtsk2 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
62,15,62,203,0,47,16,172,78,157,125,94,78,109,141,94,78,78,15,109,31,110,1
94,125,109,203,203,78,47,110,110,156,125,109,63,78,109,110,93,78,94,94,47,78,1
500,156,93,62,0,15,109,78,110,79,94,78,110,109,94,94,172,79,78,78,31,94,1
93,79,63,203,0,47,31,110,78,156,125,109,63,78,109,110,93,94,484,94,47,78,1
156,78,141,78,78,32,47,31,78,94,62,47,125,47,62,47,63,31,78,0,78,16,1
78,32,47,16,531,625,79,31,31,31,62,94,0,62,47,109,31,32,78,31,62,0,1
78,32,62,78,671,193,32,93,16,94,62,47,125,47,62,47,63,0,79,0,78,16,1
110,109,141,125,125,31,125,203,203,125,93,47,141,31,31,16,63,46,109,15,93,47,1
47,109,125,94,0,0,16,46,16,47,79,0,93,47,1000,78,156,0,94,0,63,93,1
32,0,47,125,657,720,78,453,94,125,93,47,141,31,31,16,63,93,63,15,93,47,1
94,62,63,78,78,31,79,62,63,40,106,47,125,63,63,94,62,63,94,78,79,62,1
78,62,46,63,78,250,93,63,78,47,31,78,109,63,101,176,13,63,78,62,141,62,1
63,63,46,78,62,188,140,63,74,40,106,47,125,63,63,94,62,62,141,78,79,62,1
78,110,109,109,109,31,234,78,110,141,109,140,16,62,109,203,63,32,78,63,16,62,2
78,78,94,62,0,31,109,32,78,78,63,109,16,78,125,63,94,78,265,78,16,78,2
78,78,125,109,0,16,109,109,63,141,109,140,16,62,109,203,63,78,219,63,16,62,2
375,78,62,250,250,31,62,94,109,156,62,94,62,94,109,47,78,156,63,93,47,110,2
94,78,110,62,0,32,125,156,78,63,63,79,78,62,94,62,266,16,78,110,31,78,2
171,16,31,250,62,94,15,62,109,156,62,94,62,94,109,47,78,78,110,93,47,110,2
109,172,78,250,250,47,47,62,47,63,78,32,141,31,16,78,16,16,78,63,31,78,2
63,109,109,16,0,47,125,16,94,15,78,31,94,31,968,63,125,16,78,63,31,110,2
32,16,62,250,906,1000,203,78,91,63,78,32,141,31,16,78,16,110,15,63,31,78,2
62,109,62,109,109,31,32,78,62,16,359,218,47,16,16,47,62,16,78,47,46,63,2
47,94,47,47,0,15,47,16,62,62,94,94,15,62,94,156,16,16,78,63,47,47,2
63,16,16,109,0,31,78,78,62,16,359,218,47,16,16,47,62,47,15,47,46,63,2
172,94,78,140,140,31,16,94,94,125,109,62,94,62,78,94,109,125,78,78,78,62,2
219,94,78,78,0,16,109,125,94,78,63,94,109,62,109,78,78,16,78,78,63,78,2
140,16,63,140,109,16,16,78,62,125,109,62,94,62,78,94,109,78,94,78,78,62,2
57,113,69,80,80,442,36,79,79,47,78,69,111,41,63,78,109,81,37,33,69,61,2
192,79,72,78,70,411,24,81,94,58,150,78,94,94,141,62,141,79,13,78,63,78,2
74,79,79,80,73,185,73,31,47,47,78,69,111,41,63,78,109,78,15,33,69,61,2
110,125,94,172,172,47,78,78,109,110,78,156,63,141,78,47,125,15,63,78,78,125,2
94,94,78,78,0,31,94,15,110,78,63,110,47,62,109,94,62,410,94,109,172,125,2
187,410,94,172,0,15,172,94,141,110,78,156,63,141,78,47,125,125,266,78,78,125,2
93,125,63,187,187,0,31,78,78,16,78,94,78,47,63,15,78,20,88,109,16,93,2
125,94,32,62,110,31,117,20,94,47,63,94,31,63,109,172,15,32,32,63,46,125,2
78,32,78,187,109,47,15,78,94,16,78,94,78,47,63,15,78,125,15,109,16,93,2
62,78,63,62,62,31,109,47,94,547,1015,79,125,62,63,203,62,62,188,47,47,78,2
62,63,47,78,63,94,125,62,63,31,62,93,110,93,188,62,485,47,172,63,62,63,2
31,47,78,62,47,78,219,47,63,547,1015,79,125,62,63,203,62,63,125,47,47,78,2
109,109,78,109,109,47,0,94,94,63,109,78,93,203,94,47,78,47,78,79,31,78,2
94,78,78,110,78,78,62,47,109,78,78,109,110,62,94,94,62,78,78,78,31,94,2
125,78,94,109,93,78,31,78,94,63,109,78,93,203,94,47,78,94,31,79,31,78,2
93,125,110,79,79,31,16,46,110,31,79,125,62,109,110,15,94,31,78,94,16,78,2
94,62,125,78,98,59,94,31,94,63,93,79,93,140,78,78,0,62,32,93,32,62,2
79,62,344,79,94,31,16,94,78,31,79,125,62,109,110,15,94,62,32,94,16,78,2
94,78,79,140,140,47,0,62,110,47,78,94,94,47,78,0,78,16,78,94,16,78,2
94,63,94,94,0,16,140,16,78,63,78,78,94,78,94,78,31,78,15,62,16,94,2
62,78,63,140,0,63,31,78,109,47,78,94,94,47,78,0,78,94,15,94,16,78,2
63,63,46,78,78,125,16,62,156,94,156,63,109,62,110,234,31,47,78,62,31,47,2
63,78,47,63,125,62,62,47,78,32,47,62,125,63,140,63,94,16,78,47,47,62,2
203,16,16,78,79,46,16,62,47,94,156,63,109,62,110,234,31,62,47,62,31,47,2
140,141,109,172,172,15,46,63,94,78,62,141,62,125,110,109,94,16,93,94,47,62,2
125,110,78,78,94,46,141,16,94,47,46,109,31,110,110,78,47,16,78,78,62,79,2
31,16,94,172,78,94,15,94,516,78,62,141,62,125,110,109,94,79,46,94,47,62,2
63,78,62,78,78,62,78,62,78,109,94,78,93,63,63,78,62,47,31,63,47,62,2
78,79,63,63,63,125,125,47,63,62,63,78,94,63,79,93,78,78,47,78,62,63,2
94,78,63,78,47,125,78,63,78,109,94,78,93,63,63,78,62,63,31,63,47,62,2
109,63,31,125,125,47,16,78,78,15,78,47,63,109,16,110,62,16,47,78,0,31,2
47,78,78,32,484,500,47,16,16,31,78,31,62,79,78,109,62,0,94,16,94,16,2
94,0,47,125,0,47,78,94,78,15,78,47,63,109,16,110,62,16,93,78,0,31,2
94,109,78,78,78,172,78,93,94,141,79,79,78,78,78,63,93,94,15,62,31,79,2
94,93,62,94,109,157,141,94,110,94,78,78,110,78,141,78,94,78,47,78,94,94,2
110,78,63,78,47,156,63,78,79,141,79,79,78,78,78,63,93,94,156,62,31,79,2
94,62,63,78,78,187,62,47,63,156,109,78,94,63,78,188,78,78,78,47,78,63,2
94,63,62,62,63,62,94,78,78,63,78,63,109,78,156,62,125,63,78,63,62,47,2
63,63,47,78,63,140,47,78,62,156,109,78,94,63,78,188,78,47,47,47,78,63,2
78,157,125,78,78,78,16,78,266,78,62,31,109,47,46,93,0,31,94,78,31,63,2
94,94,94,47,141,47,47,31,156,94,63,15,125,46,1390,63,141,16,94,93,0,63,2
47,16,0,78,0,15,94,94,31,78,62,31,109,47,46,93,0,63,31,78,31,63,2
62,109,94,109,109,31,141,31,110,63,94,141,0,62,15,93,32,31,78,78,32,93,2
78,93,16,31,110,31,78,31,156,94,46,63,172,16,0,125,500,78,78,63,93,78,2
78,78,94,109,0,0,47,109,63,63,94,141,0,62,15,93,32,78,94,78,32,93,2
