@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R1,2,4,5,6,7,8,9,14,16,17,18,25,26,28,33,34,35,37,38,39,42,43'

@attribute dtsk1 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtsk9 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
94,156,16,78,0,109,109,94,15,110,109,94,110,78,63,110,47,62,109,172,2
410,109,63,172,0,109,93,172,94,141,125,109,109,250,78,156,63,125,78,78,2
125,93,32,187,187,78,63,31,78,78,94,94,78,94,78,94,78,78,109,16,2
94,62,16,62,110,78,47,117,20,94,47,156,15,47,63,94,31,15,63,46,2
32,93,32,187,109,63,63,15,78,94,47,109,47,94,78,94,78,78,109,16,2
78,78,219,62,62,47,63,109,47,94,109,63,94,63,1015,79,125,62,47,47,2
63,62,63,78,63,78,79,125,62,63,109,63,78,828,62,93,110,485,63,62,2
47,78,219,62,47,109,94,219,47,63,94,188,79,63,1015,79,125,62,47,47,2
109,125,63,109,109,125,94,0,94,94,78,110,125,78,109,78,93,78,79,31,2
78,94,31,110,78,187,16,62,47,109,78,94,125,78,78,109,110,62,78,31,2
78,125,63,109,93,110,94,31,78,94,93,94,16,78,109,78,93,78,79,31,2
125,94,31,79,79,140,78,16,46,110,78,78,94,62,79,125,62,94,94,16,2
62,78,32,78,98,124,62,94,31,94,62,94,78,78,93,79,93,0,93,32,2
62,94,31,79,94,125,78,16,94,78,78,78,62,62,79,125,62,94,94,16,2
78,79,15,140,140,90,109,0,62,110,93,47,140,63,78,94,94,78,94,16,2
63,78,32,94,0,93,31,140,16,78,63,78,0,78,78,78,94,31,62,16,2
78,79,15,140,0,125,62,31,78,109,78,94,31,63,78,94,94,78,94,16,2
63,47,62,78,78,79,62,16,62,156,156,94,78,62,156,63,109,31,62,31,2
78,93,47,63,125,141,110,62,47,78,125,63,125,125,47,62,125,94,47,47,2
16,47,62,78,79,110,62,16,62,47,63,140,110,62,156,63,109,31,62,31,2
141,94,62,172,172,100,94,46,63,94,109,78,93,47,62,141,62,94,94,47,2
110,93,32,78,94,110,16,141,16,94,109,63,94,94,46,109,31,47,78,62,2
16,94,62,172,78,125,79,15,94,516,94,110,16,47,62,141,62,94,94,47,2
78,62,63,78,78,79,63,78,62,78,94,62,124,62,94,78,93,62,63,47,2
79,63,78,63,63,62,78,125,47,63,125,62,62,78,63,78,94,78,78,62,2
78,62,63,78,47,63,62,78,63,78,843,79,78,62,94,78,93,62,63,47,2
63,78,47,125,125,47,93,16,78,78,16,78,94,78,78,47,63,62,78,0,2
78,16,93,32,484,47,609,47,16,16,63,31,93,63,78,31,62,62,16,94,2
0,78,47,125,0,62,31,78,94,78,0,78,609,78,78,47,63,62,78,0,2
109,62,157,78,78,62,79,78,93,94,109,63,266,62,79,79,78,93,62,31,2
93,93,0,94,109,78,125,141,94,110,93,94,47,78,78,78,110,94,78,94,2
78,62,157,78,47,94,140,63,78,79,78,141,125,62,79,79,78,93,62,31,2
62,63,94,78,78,63,63,62,47,63,109,63,110,63,109,78,94,78,47,78,2
63,62,63,62,63,78,62,94,78,78,125,63,109,78,78,63,109,125,63,62,2
63,63,94,78,63,47,63,47,78,62,78,156,62,63,109,78,94,78,47,78,2
157,156,0,78,78,180,63,16,78,266,47,62,141,94,62,31,109,0,78,31,2
94,15,78,47,141,187,62,47,31,156,63,70,165,62,63,15,125,141,93,0,2
16,156,0,78,0,172,125,94,94,31,1312,1390,62,94,62,31,109,0,78,31,2
109,78,62,109,109,125,94,141,31,110,125,109,94,78,94,141,0,32,78,32,2
93,47,78,31,110,125,78,78,31,156,15,111,62,94,46,63,172,500,63,93,2
78,78,62,109,0,94,78,47,109,63,109,0,78,78,94,141,0,32,78,32,2
