@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R4,5,6,8,15,16,18,19,21,23,24,25,26,27,28,29,35,36,38,39,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute ft6 numeric
@attribute ft7 numeric
@attribute dtfk8 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute dtfk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
78,78,110,109,109,109,79,109,109,31,125,234,110,109,140,16,62,109,32,63,16,62,2
78,47,78,93,63,125,63,62,0,31,47,109,78,63,109,16,78,125,78,78,16,78,2
78,16,78,78,62,109,79,109,0,16,251,109,63,109,140,16,62,109,78,63,16,62,2
375,16,78,62,94,94,156,250,250,31,125,62,109,62,94,62,94,109,156,93,47,110,2
94,31,78,63,47,47,47,62,0,32,94,125,78,63,79,78,62,94,16,110,31,78,2
171,63,16,94,125,94,156,250,62,94,46,15,109,62,94,62,94,109,78,93,47,110,2
109,47,172,78,94,94,141,250,250,47,15,47,47,78,32,141,31,16,16,63,31,78,2
63,15,109,94,94,78,172,16,0,47,172,125,94,78,31,94,31,968,16,63,31,110,2
32,93,16,62,78,94,141,250,906,1000,31,203,91,78,32,141,31,16,110,63,31,78,2
62,16,109,62,78,78,31,109,109,31,140,32,62,359,218,47,16,16,16,47,46,63,2
47,359,94,63,32,62,16,47,0,15,78,47,62,94,94,15,62,94,16,63,47,47,2
63,78,16,78,79,78,31,109,0,31,32,78,62,359,218,47,16,16,47,47,46,63,2
172,437,94,78,94,94,31,140,140,31,141,16,94,109,62,94,62,78,125,78,78,62,2
219,15,94,94,94,94,62,78,0,16,62,109,94,63,94,109,62,109,16,78,63,78,2
140,110,16,94,78,94,31,140,109,16,78,16,62,109,62,94,62,78,78,78,78,62,2
57,4369,113,69,90,90,63,80,80,442,101,36,79,78,69,111,41,63,81,33,69,61,2
192,4,79,98,65,78,31,78,70,411,94,24,94,150,78,94,94,141,79,78,63,78,2
74,6,79,79,104,90,63,80,73,185,31,73,47,78,69,111,41,63,78,33,69,61,2
110,156,125,94,109,109,63,172,172,47,78,78,109,78,156,63,141,78,15,78,78,125,2
94,15,94,78,63,156,16,78,0,31,94,94,110,63,110,47,62,109,410,109,172,125,2
187,78,410,78,78,109,63,172,0,15,93,172,141,78,156,63,141,78,125,78,78,125,2
93,32,125,63,93,93,32,187,187,0,47,31,78,78,94,78,47,63,20,109,16,93,2
125,32,94,94,93,62,16,62,110,31,78,117,94,63,94,31,63,109,32,63,46,125,2
78,78,32,78,93,93,32,187,109,47,94,15,94,78,94,78,47,63,125,109,16,93,2
62,141,78,63,78,78,219,62,62,31,157,109,94,1015,79,125,62,63,62,47,47,78,2
62,78,63,47,46,62,63,78,63,94,78,125,63,62,93,110,93,188,47,63,62,63,2
31,109,47,47,62,78,219,62,47,78,62,219,63,1015,79,125,62,63,63,47,47,78,2
109,125,109,78,125,125,63,109,109,47,109,0,94,109,78,93,203,94,47,79,31,78,2
94,16,78,78,78,94,31,110,78,78,79,62,109,78,109,110,62,94,78,78,31,94,2
125,0,78,94,94,125,63,109,93,78,78,31,94,109,78,93,203,94,94,79,31,78,2
93,47,125,110,94,94,31,79,79,31,109,16,110,79,125,62,109,110,31,94,16,78,2
94,16,62,62,47,78,32,78,98,59,62,94,94,93,79,93,140,78,62,93,32,62,2
79,31,62,46,62,94,31,79,94,31,16,16,78,79,125,62,109,110,62,94,16,78,2
94,31,78,79,79,79,15,140,140,47,62,0,110,78,94,94,47,78,16,94,16,78,2
94,0,63,62,78,78,32,94,0,16,172,140,78,78,78,94,78,94,78,62,16,94,2
62,16,78,62,78,79,15,140,0,63,63,31,109,78,94,94,47,78,94,94,16,78,2
63,343,63,46,47,47,62,78,78,125,156,16,156,156,63,109,62,110,47,62,31,47,2
63,0,78,47,47,93,47,63,125,62,47,62,78,47,62,125,63,140,16,47,47,62,2
203,47,16,62,47,47,62,78,79,46,47,16,47,156,63,109,62,110,62,62,31,47,2
140,31,141,109,94,94,62,172,172,15,62,46,94,62,141,62,125,110,16,94,47,62,2
125,32,110,94,78,93,32,78,94,46,141,141,94,46,109,31,110,110,16,78,62,79,2
31,109,16,63,94,94,62,172,78,94,0,15,516,62,141,62,125,110,79,94,47,62,2
63,78,78,62,62,62,63,78,78,62,94,78,78,94,78,93,63,63,47,63,47,62,2
78,62,79,62,62,63,78,63,63,125,188,125,63,63,78,94,63,79,78,78,62,63,2
94,78,78,62,78,62,63,78,47,125,93,78,78,94,78,93,63,63,63,63,47,62,2
109,47,63,31,78,78,47,125,125,47,62,16,78,78,47,63,109,16,16,78,0,31,2
47,16,78,78,110,16,93,32,484,500,94,47,16,78,31,62,79,78,0,16,94,16,2
94,156,0,78,110,78,47,125,0,47,31,78,78,78,47,63,109,16,16,78,0,31,2
94,32,109,78,62,62,157,78,78,172,93,78,94,79,79,78,78,78,94,62,31,79,2
94,16,93,78,63,93,0,94,109,157,78,141,110,78,78,110,78,141,78,78,94,94,2
110,78,78,93,78,62,157,78,47,156,172,63,79,79,79,78,78,78,94,62,31,79,2
94,109,62,63,63,63,94,78,78,187,140,62,63,109,78,94,63,78,78,47,78,63,2
94,47,63,78,63,62,63,62,63,62,63,94,78,78,63,109,78,156,63,63,62,47,2
63,62,63,47,63,63,94,78,63,140,62,47,62,109,78,94,63,78,47,47,78,63,2
78,47,157,125,156,156,0,78,78,78,109,16,266,62,31,109,47,46,31,78,31,63,2
94,15,94,125,78,15,78,47,141,47,94,47,156,63,15,125,46,1390,16,93,0,63,2
47,47,16,78,94,156,0,78,0,15,15,94,31,62,31,109,47,46,63,78,31,63,2
62,79,109,94,78,78,62,109,109,31,125,141,110,94,141,0,62,15,31,78,32,93,2
78,125,93,94,63,47,78,31,110,31,78,78,156,46,63,172,16,0,78,63,93,78,2
78,31,78,31,156,78,62,109,0,0,187,47,63,94,141,0,62,15,78,78,32,93,2
