@relation keyboard-gender

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtsk1 numeric
@attribute dtfk2 numeric
@attribute ft2 numeric
@attribute dtsk2 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute dtsk3 numeric
@attribute dtfk4 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute ft5 numeric
@attribute dtsk5 numeric
@attribute dtfk6 numeric
@attribute ft6 numeric
@attribute dtsk6 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk9 numeric
@attribute ft9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute sum numeric
@attribute gender {1,2}

@data
78,31,78,63,109,62,78,63,78,93,94,78,94,171,63,15,78,94,109,16,62,79,110,94,78,93,94,141,109,63,94,78,94,93,16,78,78,16,78,93,32,62,3280,1
125,172,94,94,203,109,109,110,109,109,250,78,78,110,78,78,156,110,125,140,63,62,125,47,94,172,78,94,78,110,47,156,79,94,265,94,63,422,78,93,94,78,4923,1
110,359,94,79,62,78,78,110,78,78,219,93,94,78,78,110,93,610,62,328,63,109,141,109,156,94,141,93,94,63,78,109,79,156,94,140,93,547,94,110,125,93,5672,1
94,313,93,94,109,78,63,15,94,109,250,78,93,250,94,78,63,156,94,187,78,109,94,156,78,188,62,94,78,110,47,156,79,94,265,94,93,203,63,93,94,78,4811,1
63,94,93,93,125,47,47,47,63,63,93,156,156,31,63,63,469,62,78,125,78,141,47,172,78,63,141,78,56,73,78,31,125,79,15,110,78,78,47,62,31,63,3755,1
62,16,47,63,140,47,63,62,63,47,16,47,0,594,656,73,166,16,62,125,78,78,78,62,15,109,16,62,78,63,140,0,63,47,110,62,31,47,63,63,31,78,3739,1
78,31,31,47,94,63,78,32,62,63,93,156,0,16,94,62,141,15,94,31,63,78,703,47,844,891,62,78,56,73,78,31,125,79,15,110,78,172,78,62,31,63,5098,1
109,16,110,110,47,109,109,78,47,47,391,438,438,31,46,94,62,94,78,31,94,110,140,79,78,32,109,94,31,78,109,125,109,109,16,78,15,78,31,78,0,94,4172,1
94,0,109,93,63,110,78,47,94,78,141,78,0,32,46,78,94,78,31,78,15,63,109,47,46,125,110,63,62,78,125,31,62,687,94,78,32,110,31,78,31,94,3593,1
78,109,32,203,31,93,94,31,78,47,391,438,0,31,94,78,47,46,110,31,94,0,94,687,765,844,31,94,31,78,109,125,109,109,16,78,94,62,63,78,0,94,5717,1
125,31,110,110,46,125,125,79,93,93,485,594,594,47,140,94,47,93,78,141,62,125,109,63,140,16,125,47,78,78,47,62,109,125,16,93,0,125,62,78,32,93,4935,1
93,16,94,125,31,125,78,125,94,109,47,78,125,31,141,78,79,109,32,110,0,78,110,109,109,0,109,62,94,62,125,62,125,172,78,94,94,15,63,94,47,93,3515,1
156,16,94,188,47,63,62,31,94,93,485,594,234,16,109,94,94,109,125,78,94,109,94,172,985,1078,32,47,78,78,47,62,109,125,16,93,93,125,94,78,32,93,6516,1
62,63,93,93,110,47,47,78,31,31,125,63,63,171,79,63,109,172,62,32,78,78,78,78,63,156,78,63,47,93,78,78,47,78,172,78,63,78,63,46,79,78,3344,1
172,15,93,94,94,47,78,47,63,79,46,47,47,31,94,93,63,125,78,15,63,78,63,109,109,63,125,62,78,63,78,94,63,125,62,47,63,125,31,62,63,78,3125,1
62,0,63,78,78,63,78,47,62,31,125,63,46,47,94,94,47,109,62,16,62,62,79,125,62,141,78,63,47,93,78,78,47,78,172,78,78,62,32,46,79,78,2983,1
93,547,156,156,16,172,172,292,79,79,128,225,225,40,110,63,78,78,63,47,78,15,140,94,94,93,203,47,62,109,78,63,93,47,15,62,32,93,16,94,47,94,4488,1
78,16,109,109,47,109,109,0,63,78,47,62,609,734,0,109,63,172,79,93,32,109,47,125,62,94,78,78,78,78,79,78,172,110,94,78,78,0,63,15,62,47,4343,1
78,78,78,15,63,47,78,297,78,79,128,225,0,47,141,93,32,62,94,31,172,47,109,110,812,78,79,47,62,109,78,63,93,47,15,62,47,78,47,94,47,94,4134,1
63,15,63,63,93,63,63,16,93,93,63,140,140,188,109,31,141,62,63,578,94,78,125,62,63,109,78,47,94,141,78,94,188,47,78,62,47,109,47,93,63,62,3999,1
62,78,125,79,93,63,94,78,31,79,62,78,125,207,109,141,62,156,94,78,47,94,94,62,94,63,93,47,78,63,78,125,62,93,110,78,47,438,62,94,31,94,3941,1
